Date,Fear Greed
2012-05-25,14
2012-06-01,13
2012-06-08,19
2012-06-15,19
2012-06-22,19
2012-06-29,19
2012-07-06,19
2012-07-13,56
2012-07-20,56
2012-07-27,56
2012-08-03,63
2012-08-10,70
2012-08-17,78
2012-08-31,60
2012-09-07,83
2012-09-14,83
2012-09-21,92
2012-09-28,71
2012-10-05,76
2012-10-12,72
2012-10-19,63
2012-10-26,40
2012-11-02,50
2012-11-09,46
2012-11-16,28
2012-11-23,48
2012-11-30,50
2012-12-07,60
2012-12-21,67
2012-12-28,67
2013-01-04,84
2013-01-11,84
2013-01-18,89
2013-01-25,89
2013-02-01,93
2013-02-08,93
2013-02-15,84
2013-02-22,84
2013-03-01,71
2013-03-08,82
2013-03-15,82
2013-03-22,70
2013-03-29,69
2013-04-05,55
2013-04-12,55
2013-04-19,41
2013-04-26,52
2013-05-03,60
2013-05-10,78
2013-05-17,87
2013-05-24,75
2013-05-31,75
2013-06-07,34
2013-06-14,34
2013-06-21,34
2013-06-28,34
2013-07-05,68
2013-07-12,68
2013-07-19,68
2013-07-26,68
2013-08-02,68
2013-08-09,47
2013-08-16,46
2013-08-23,46
2013-08-30,49
2013-09-06,49
2013-09-13,46
2013-09-20,57
2013-09-27,57
2013-10-04,21
2013-10-11,21
2013-10-18,39
2013-10-25,39
2013-11-01,39
2013-11-08,64
2013-11-15,64
2013-11-22,64
2013-11-29,64
2013-12-06,64
2013-12-13,50
2013-12-20,50
2013-12-27,66
2014-01-03,77
2014-01-10,68
2014-01-17,68
2014-01-24,27
2014-01-31,29
2014-02-07,23
2014-02-14,22
2014-02-21,58
2014-02-28,58
2014-03-07,58
2014-03-14,43
2014-03-28,36
2014-04-04,34
2014-04-11,34
2014-04-18,34
2014-04-25,34
2014-05-02,34
2014-05-09,40
2014-05-16,40
2014-05-23,40
2014-05-30,40
2014-06-06,40
2014-06-13,83
2014-06-20,83
2014-06-27,83
2014-07-04,83
2014-07-11,32
2014-07-18,32
2014-07-25,37
2014-08-01,9
2014-08-08,5
2014-08-22,37
2014-08-29,33
2014-09-05,47
2014-09-12,37
2014-09-19,37
2014-09-26,17
2014-10-03,7
2014-10-10,1
2014-10-17,7
2014-10-24,5
2014-10-31,5
2014-11-07,55
2014-11-14,55
2014-11-21,55
2014-11-28,55
2014-12-05,61
2014-12-12,61
2014-12-19,61
2014-12-26,61
2015-01-02,61
2015-01-09,46
2015-01-16,46
2015-01-23,46
2015-01-30,46
2015-02-13,73
2015-02-20,80
2015-02-27,77
2015-03-06,65
2015-03-13,39
2015-03-20,39
2015-03-27,39
2015-04-03,39
2015-04-10,59
2015-04-17,59
2015-04-24,59
2015-05-01,61
2015-05-08,61
2015-05-15,61
2015-05-22,61
2015-05-29,30
2015-06-05,30
2015-06-12,30
2015-06-19,29
2015-06-26,34
2015-07-03,16
2015-07-10,13
2015-07-17,13
2015-07-24,14
2015-07-31,21
2015-08-07,10
2015-08-14,10
2015-08-21,10
2015-08-28,10
2015-09-04,10
2015-09-11,15
2015-09-18,15
2015-09-25,23
2015-10-02,18
2015-10-09,42
2015-10-16,44
2015-10-23,55
2015-10-30,71
2015-11-06,71
2015-11-13,58
2015-11-20,58
2015-11-27,58
2015-12-04,58
2015-12-11,24
2015-12-18,25
2015-12-25,43
2016-01-01,27
2016-01-08,27
