Date,Fear Greed
11/9/2015,67
11/10/2015,66
11/11/2015,63
11/12/2015,55
11/13/2015,45
11/16/2015,50
11/17/2015,48
11/18/2015,53
11/19/2015,52
11/20/2015,54
11/23/2015,53
11/24/2015,58
11/25/2015,59
11/27/2015,58
11/30/2015,58
12/1/2015,60
12/2/2015,55
12/3/2015,49
12/4/2015,58
12/7/2015,47
12/8/2015,38
12/9/2015,35
12/10/2015,36
12/11/2015,24
12/14/2015,29
12/15/2015,35
12/16/2015,44
12/17/2015,34
12/18/2015,29
12/21/2015,32
12/22/2015,36
12/23/2015,42
12/24/2015,42
12/28/2015,44
12/29/2015,51
12/30/2015,47
12/31/2015,45
1/4/2016,40
1/5/2016,41
1/6/2016,34
1/7/2016,25
1/8/2016,17
1/11/2016,18
1/12/2016,17
1/13/2016,14
1/14/2016,18
1/15/2016,10
1/19/2016,11
1/20/2016,9
1/21/2016,13
1/22/2016,14
1/25/2016,15
1/26/2016,18
1/27/2016,19
1/28/2016,21
1/29/2016,27
2/1/2016,27
2/2/2016,23
2/3/2016,25
2/4/2016,25
2/5/2016,17
2/8/2016,14
2/9/2016,20
2/10/2016,16
2/11/2016,18
2/12/2016,24
2/16/2016,34
2/17/2016,45
2/18/2016,47
2/19/2016,50
2/22/2016,51
2/23/2016,51
2/24/2016,49
2/25/2016,54
2/26/2016,57
2/29/2016,53
3/1/2016,64
3/2/2016,66
3/3/2016,69
3/4/2016,71
3/7/2016,73
3/8/2016,70
3/9/2016,71
3/10/2016,71
3/11/2016,75
3/14/2016,73
3/15/2016,73
3/16/2016,75
3/17/2016,78
3/18/2016,79
3/21/2016,78
3/22/2016,78
3/23/2016,70
3/24/2016,66
3/28/2016,64
3/29/2016,68
3/30/2016,71
3/31/2016,73
4/1/2016,78
4/4/2016,74
4/5/2016,67
4/6/2016,77
4/7/2016,66
4/8/2016,68
4/11/2016,64
4/12/2016,68
4/13/2016,71
4/14/2016,72
4/15/2016,70
4/18/2016,75
4/19/2016,75
4/20/2016,76
4/21/2016,74
4/22/2016,74
4/25/2016,70
4/26/2016,72
4/27/2016,72
4/28/2016,69
4/29/2016,63
5/2/2016,71
5/3/2016,63
5/4/2016,57
5/5/2016,58
5/6/2016,61
5/9/2016,60
5/10/2016,67
5/11/2016,60
5/12/2016,61
5/13/2016,54
5/16/2016,62
5/17/2016,53
5/18/2016,55
5/19/2016,51
5/20/2016,56
5/23/2016,54
5/24/2016,65
5/25/2016,73
5/26/2016,74
5/27/2016,78
5/31/2016,75
6/1/2016,78
6/2/2016,79
6/3/2016,75
6/6/2016,80
6/7/2016,81
6/8/2016,80
6/9/2016,79
6/10/2016,61
6/13/2016,53
6/14/2016,50
6/15/2016,50
6/16/2016,51
6/17/2016,53
6/20/2016,62
6/21/2016,67
6/22/2016,57
6/23/2016,77
6/24/2016,42
6/27/2016,37
6/28/2016,47
6/29/2016,60
6/30/2016,64
7/1/2016,71
7/5/2016,67
7/6/2016,70
7/7/2016,69
7/8/2016,78
7/11/2016,83
7/12/2016,88
7/13/2016,86
7/14/2016,90
7/15/2016,89
7/18/2016,91
7/19/2016,87
7/20/2016,90
7/21/2016,85
7/22/2016,86
7/25/2016,85
7/26/2016,85
7/27/2016,82
7/28/2016,82
7/29/2016,79
8/1/2016,77
8/2/2016,77
8/3/2016,81
8/4/2016,80
8/5/2016,86
8/8/2016,84
8/9/2016,80
8/10/2016,74
8/11/2016,80
8/12/2016,75
8/15/2016,81
8/16/2016,77
8/17/2016,76
8/18/2016,78
8/19/2016,77
8/22/2016,72
8/23/2016,76
8/24/2016,69
8/25/2016,66
8/26/2016,63
